Column name,Description,Non NA unique values,Data Abstraction,Cleaning required,Cleaning Done,Percentage of rows with nulls,Whether we're likely to use,Planned use,Notes
id,Unique identifier for property,-,Categorical,No,Y,0,Yes,Y,Likely only for counts
name,Description of property,-,Categorical,If use will need to remove stopwords,N,0.24,Maybe,Y,"For looking at frequent descriptions of neighbourhoods, stop words need to be removed"
host_id,Unique identifier for host,-,Categorical,Maybe,N,0,Yes,Y,"One host ID seems to have two names, should they be split?"
host_identity_verified,"Categorical, whether the hosts identity has been checked","'unconfirmed', 'verified'",Categorical,No,Y,0.28,No,Maybe,"To discuss, we could replace NA with unconfirmed here"
host_name,Name for host,-,Categorical,No,Y,0.4,No,N,"Definitely ethical issues if we use it (some people have their & partners name, or their full name)"
neighbourhood_group,Neighbourhood group name,"Brooklyn', 'Manhattan', 'Queens','Staten Island', 'Bronx'","Categorical, hierarchical with neighbourhood","Yes, fixed incorrect names and joined on neighbourhood to fill nulls in column",Y,0,Yes,Y,
neighbourhood,Neighbourhood name,"Kensington', 'Midtown', 'Harlem', 'Clinton Hill', 'East Harlem',
       'Murray Hill', 'Bedford-Stuyvesant', ""Hell's Kitchen"",
       'Upper West Side', 'Chinatown', 'South Slope', 'West Village',
       'Williamsburg', 'Fort Greene', 'Chelsea', 'Crown Heights',
       'Park Slope', 'Windsor Terrace', 'Inwood', 'East Village',
       'Greenpoint', 'Bushwick', 'Flatbush', 'Lower East Side',
       'Prospect-Lefferts Gardens', 'Long Island City', 'Kips Bay',
       'SoHo', 'Upper East Side', 'Prospect Heights',
       'Washington Heights', 'Woodside', 'Brooklyn Heights',
       'Carroll Gardens', 'Gowanus', 'Flatlands', 'Cobble Hill',
       'Flushing', 'Boerum Hill', 'Sunnyside', 'DUMBO', 'St. George',
       'Highbridge', 'Financial District', 'Ridgewood',
       'Morningside Heights', 'Jamaica', 'Middle Village', 'NoHo',
       'Ditmars Steinway', 'Flatiron District', 'Roosevelt Island',
       'Greenwich Village', 'Little Italy', 'East Flatbush',
       'Tompkinsville', 'Astoria', 'Clason Point', 'Eastchester',
       'Kingsbridge', 'Two Bridges', 'Queens Village', 'Rockaway Beach',
       'Forest Hills', 'Nolita', 'Woodlawn', 'University Heights',
       'Gravesend', 'Gramercy', 'Allerton', nan, 'East New York',
       'Theater District', 'Concourse Village', 'Sheepshead Bay',
       'Emerson Hill', 'Fort Hamilton', 'Bensonhurst', 'Tribeca',
       'Shore Acres', 'Sunset Park', 'Concourse', 'Elmhurst',
       'Brighton Beach', 'Jackson Heights', 'Cypress Hills', 'St. Albans',
       'Arrochar', 'Rego Park', 'Wakefield', 'Clifton', 'Bay Ridge',
       'Graniteville', 'Spuyten Duyvil', 'Stapleton', 'Briarwood',
       'Ozone Park', 'Columbia St', 'Vinegar Hill', 'Mott Haven',
       'Longwood', 'Canarsie', 'Battery Park City', 'Civic Center',
       'East Elmhurst', 'New Springville', 'Morris Heights', 'Arverne',
       'Cambria Heights', 'Tottenville', 'Mariners Harbor', 'Concord',
       'Borough Park', 'Bayside', 'Downtown Brooklyn', 'Port Morris',
       'Fieldston', 'Kew Gardens', 'Midwood', 'College Point',
       'Mount Eden', 'City Island', 'Glendale', 'Port Richmond',
       'Red Hook', 'Richmond Hill', 'Bellerose', 'Maspeth',
       'Williamsbridge', 'Soundview', 'Woodhaven', 'Woodrow',
       'Co-op City', 'Stuyvesant Town', 'Parkchester', 'North Riverdale',
       'Dyker Heights', 'Bronxdale', 'Sea Gate', 'Riverdale',
       'Kew Gardens Hills', 'Bay Terrace', 'Norwood', 'Claremont Village',
       'Whitestone', 'Fordham', 'Bayswater', 'Navy Yard', 'Brownsville',
       'Eltingville', 'Fresh Meadows', 'Mount Hope', 'Lighthouse Hill',
       'Springfield Gardens', 'Howard Beach', 'Belle Harbor',
       'Jamaica Estates', 'Van Nest', 'Morris Park', 'West Brighton',
       'Far Rockaway', 'South Ozone Park', 'Tremont', 'Corona',
       'Great Kills', 'Manhattan Beach', 'Marble Hill', 'Dongan Hills',
       'Castleton Corners', 'East Morrisania', 'Hunts Point', 'Neponsit',
       'Pelham Bay', 'Randall Manor', 'Throgs Neck', 'Todt Hill',
       'West Farms', 'Silver Lake', 'Morrisania', 'Laurelton',
       'Grymes Hill', 'Holliswood', 'Pelham Gardens', 'Belmont',
       'Rosedale', 'Edgemere', 'New Brighton', 'Midland Beach',
       'Baychester', 'Melrose', 'Bergen Beach', 'Richmondtown',
       'Howland Hook', 'Schuylerville', 'Coney Island', 'New Dorp Beach',
       ""Prince's Bay"", 'South Beach', 'Bath Beach', 'Jamaica Hills',
       'Oakwood', 'Castle Hill', 'Hollis', 'Douglaston', 'Huguenot',
       'Olinville', 'Edenwald', 'Grant City', 'Westerleigh',
       'Bay Terrace, Staten Island', 'Westchester Square', 'Little Neck',
       'Fort Wadsworth', 'Rosebank', 'Unionport', 'Mill Basin',
       'Arden Heights', ""Bull's Head"", 'New Dorp', 'Rossville',
       'Breezy Point', 'Willowbrook', 'Glen Oaks', 'Gerritsen Beach',
       'Chelsea, Staten Island'","Categorical, hierarchical with neighbourhood group",Maybe,N,0.03,Yes,Y,Could fill nulls manually or extract from name
lat,latitude coordinate,-,Position,No,Y,0.01,Yes,Y,Could search for locations and manually fill nulls
long,longitude coordinate,-,Position,No,Y,0.01,Yes,Y,Could search for locations and manually fill nulls
instant_bookable,Whether the guest can automatically book the listing without the host requiring to accept their booking request. An indicator of a commercial listing.,"True, False","Categorical, boolean",No,Y,0.1,Maybe,N,Look into how to use for commercial listing
cancellation_policy,How strict the cancellation policy,"strict', 'moderate', 'flexible'",Categorical,"Yes, set as category",Y,0.08,No,N,Could use mode? Or mark unknown
room_type,Type of property offered,"Private room', 'Entire home/apt', 'Shared room', 'Hotel room'",Categorical,"Yes, set as category",Y,0,Yes,Y,
construction_year,Year built,-,"Quantitative, sequential",No,Y,0.21,Maybe,Maybe,Could give median year? Or replace with unknown
price,Daily price in dollars,-,"Quantitative, sequential","Yes, removed punctuation, dollar sign and changed to float",Y,0.24,Yes,Maybe,Could give the median price? Or mark as unknown
service_fee,Service fee in dollars (one-off),-,"Quantitative, sequential","Yes, removed dollar sign and changed to float",Y,0.27,Yes,Maybe,Could give the median price? Or mark as unknown
minimum_nights,minimum number of night stay for the listing ,-,"Quantitative, sequential","Yes, removed unreasonable values and set as int",Y,0.41,Maybe,N,Might still want to remove above 600
number_of_reviews,The number of reviews the listing has,-,"Quantitative, sequential","Yes, set as int",Y,0.18,Maybe,Maybe,"Null might mean 0, or could use median, probably best to leave unknown"
last_review,The date of the last/newest review,-,"Quantitative, sequential","Yes, removed unreasonable values and set as int",Y,15.52,No,Maybe,"Lots of nulls, probably not reliable"
reviews_per_month,The number of reviews the listing has over the lifetime of the listing per month,-,"Quantitative, sequential",No,Y,15.5,Maybe,N,"Lots of nulls, probably not reliable. Null might mean 0, or could use median,"
review_rate_number,Assuming this is the average rating but could also be the most common,"1,2,3,4,5","Quantitative, sequential","Yes, set as int",Y,0.31,No,N,
calculated_host_listings_count,"The number of listings the host has in the current scrape, in the city/region geography (can be multiple listings within one property)",-,"Quantitative, sequential","Yes, set as int",Y,0.31,Yes,Y,
availability_365,The availability of the listing x days in the future as determined by the calendar. Note a listing may be available because it has been booked by a guest or blocked by the host.,-,"Quantitative, sequential","Yes, set as int",Y,0.44,Maybe,N,Hard to draw conclusions from this field
house_rules,Rules for property,-,Categorical,If use will need to remove stopwords,N,50.79,Maybe ,N,"Lots of nulls, probably not reliable"
